filing_date,negative,positive,words,sentiment,sentiment.ratio,positive.ratio,negative.ratio,Year,TICKER
2010-02-16T00:00:00Z,1123,1892,73405,769,0.010476126,0.025774811,0.015298685,2010,MMM
2011-02-16T00:00:00Z,1092,1789,71068,697,0.009807508,0.025173074,0.015365565,2011,MMM
2012-02-16T00:00:00Z,1167,1867,73396,700,0.009537304,0.025437354,0.015900049,2012,MMM
2013-02-14T00:00:00Z,1183,1697,70812,514,0.007258657,0.023964865,0.016706208,2013,MMM
2014-02-13T00:00:00Z,1176,1663,69081,487,0.007049695,0.024073189,0.017023494,2014,MMM
2015-02-12T00:00:00Z,1161,1609,68575,448,0.006532993,0.023463361,0.016930368,2015,MMM
2016-02-11T00:00:00Z,1095,1675,67389,580,0.008606746,0.024855689,0.016248943,2016,MMM
2017-02-09T00:00:00Z,1222,1861,72778,639,0.008780126,0.025570914,0.016790788,2017,MMM
2018-02-08T00:00:00Z,1243,1852,76199,609,0.007992231,0.024304781,0.01631255,2018,MMM
2019-02-07T00:00:00Z,1229,1763,75988,534,0.007027425,0.023201032,0.016173606,2019,MMM
2011-02-18T00:00:00Z,763,1030,46130,267,0.00578799,0.022328203,0.016540212,2011,ABT
2012-02-21T00:00:00Z,814,1098,48799,284,0.005819791,0.022500461,0.01668067,2012,ABT
2013-02-15T00:00:00Z,801,1014,46390,213,0.004591507,0.021858159,0.017266652,2013,ABT
2014-02-21T00:00:00Z,759,976,42290,217,0.005131237,0.023078742,0.017947505,2014,ABT
2015-02-27T00:00:00Z,761,1009,45192,248,0.005487697,0.022326961,0.016839264,2015,ABT
2016-02-19T00:00:00Z,723,1015,46112,292,0.006332408,0.022011624,0.015679216,2016,ABT
2017-02-17T00:00:00Z,775,1007,48317,232,0.004801623,0.020841526,0.016039903,2017,ABT
2018-02-16T00:00:00Z,838,1152,52620,314,0.005967313,0.021892816,0.015925504,2018,ABT
2019-02-22T00:00:00Z,818,1190,52377,372,0.007102354,0.022719896,0.015617542,2019,ABT
2013-03-15T00:00:00Z,859,1090,49129,231,0.004701907,0.022186489,0.017484581,2013,ABBV
2014-02-21T00:00:00Z,852,1214,51825,362,0.006985046,0.023424988,0.016439942,2014,ABBV
2015-02-20T00:00:00Z,884,1232,53360,348,0.006521739,0.023088456,0.016566717,2015,ABBV
2016-02-19T00:00:00Z,937,1287,55726,350,0.006280731,0.023095144,0.016814413,2016,ABBV
