filing_date,negative,positive,words,sentiment,sentiment.ratio,positive.ratio,negative.ratio,Year,TICKER
2009-06-29T00:00:00Z,801,1783,69926,982,0.014043417,0.025498384,0.011454967,2009,ORCL
2010-07-01T00:00:00Z,964,2034,80978,1070,0.013213465,0.025117933,0.011904468,2010,ORCL
2011-06-28T00:00:00Z,1027,2002,77135,975,0.012640176,0.025954495,0.013314319,2011,ORCL
2012-06-26T00:00:00Z,1068,2002,78031,934,0.011969602,0.02565647,0.013686868,2012,ORCL
2013-06-26T00:00:00Z,1134,1976,77894,842,0.010809562,0.025367808,0.014558246,2013,ORCL
2014-06-26T00:00:00Z,1263,2068,81123,805,0.009923203,0.025492154,0.015568951,2014,ORCL
2015-06-25T00:00:00Z,1343,2161,82896,818,0.009867786,0.026068809,0.016201023,2015,ORCL
2016-06-22T00:00:00Z,1517,2128,81833,611,0.007466426,0.026004179,0.018537754,2016,ORCL
2017-06-27T00:00:00Z,1431,2048,79469,617,0.007764034,0.025771055,0.018007022,2017,ORCL
2018-06-22T00:00:00Z,1358,1806,75318,448,0.005948113,0.023978332,0.018030219,2018,ORCL
2009-07-30T00:00:00Z,610,1105,46155,495,0.010724732,0.023941068,0.013216336,2009,MSFT
2010-07-30T00:00:00Z,608,1086,44132,478,0.010831143,0.024607994,0.013776851,2010,MSFT
2011-07-28T00:00:00Z,625,1074,44829,449,0.010015838,0.023957706,0.013941868,2011,MSFT
2012-07-26T00:00:00Z,671,1158,46530,487,0.010466366,0.02488717,0.014420804,2012,MSFT
2013-07-30T00:00:00Z,705,1147,47233,442,0.009357864,0.024283869,0.014926005,2013,MSFT
2014-07-31T00:00:00Z,787,1227,50791,440,0.008662952,0.024157823,0.015494871,2014,MSFT
2015-07-31T00:00:00Z,815,1244,50482,429,0.008498079,0.024642447,0.016144368,2015,MSFT
2016-07-28T00:00:00Z,859,1304,51858,445,0.008581125,0.02514559,0.016564464,2016,MSFT
2017-08-02T00:00:00Z,883,1308,50919,425,0.00834659,0.025687857,0.017341268,2017,MSFT
2018-08-03T00:00:00Z,915,1268,52095,353,0.006776082,0.024340148,0.017564066,2018,MSFT
2010-02-12T00:00:00Z,760,1196,54639,436,0.007979648,0.021889127,0.013909479,2010,HON
2011-02-11T00:00:00Z,806,1219,57687,413,0.007159325,0.021131277,0.013971952,2011,HON
2012-02-17T00:00:00Z,841,1286,58818,445,0.007565711,0.021864055,0.014298344,2012,HON
2013-02-15T00:00:00Z,840,1349,61487,509,0.008278173,0.021939597,0.013661424,2013,HON
2014-02-14T00:00:00Z,851,1371,61145,520,0.008504375,0.022422111,0.013917737,2014,HON
2015-02-13T00:00:00Z,534,871,38905,337,0.008662126,0.022387868,0.013725742,2015,HON
